Auto/Manual,Eng.Capacity,HBC Cat. No.,Description,Title,ABI,Odometer Reading,Reg. number,image_urls,link,Location,Key,Year,Fueltype
6 Speed Manual,1596 (cc),7925373,Engine Does Not Run. Accident Damage,FORD FIESTA ST-3 TURB,Category S,26526,EN16ZWF,"https://hbcweblive.blob.core.windows.net/assets/7925373/img_t0_elr95_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_fe6z0xos_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_xvb0zo_u_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_ah8bpinl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_9881evua_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_9fxz_llf_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img__nh33j37_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_w3uv5ckm_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img__5vz93ji_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_bjkt2f_1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_s0u76qrx_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_4cks8198_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_kuu6n9ar_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_531iy5lo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_ug_5fvnu_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_kzx8gy8f_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_blidlt7v_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_cyu75s_w_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_iqqd5p26_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7925373/img_e5pc72i7_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7925373,Canvey Island,Yes,Manu: 2016,Petrol
,3628 (cc),7914021,No Keys. Accident Damage,LAND ROVER RANGE ROVER SPOR,Category S,71199,RX08AKK,"https://hbcweblive.blob.core.windows.net/assets/7914021/img_z3153s2w_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_dk2eiqld_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_vwq6fqrb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_fro1kare_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_90rmixr1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_uhol3y66_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_zkfkjh7s_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_m2_tj8w1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_u48unz5e_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_zy13jhnk_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_13sf0o_u_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_cftktd13_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_ktzdc1zi_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_8p28hwi7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_lmu7cbrk_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_4r9nj4_c_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_k6111jki_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_qifafkef_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img_pzjhsy8a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7914021/img__b2q7k2z_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7914021,Canvey Island,No,Manu: 2008,Diesel
5 Speed Manual,2499 (cc),7956097X,"When Checked, Ran and Drove. Accident Damage",MAZDA BT-50 TS 4X4,Category N,91326,FL08RBX,"https://hbcweblive.blob.core.windows.net/assets/7956097/img_syzz7u3h_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_ebuwx58c_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_2axtjcze_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_207ehsgy_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_101y0_dq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_r1y_yu5d_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_1hmeysml_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_lqebjvnv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_wmdxhr7p_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_4t9h7c1y_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_x72ru5eh_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_0_dq83wh_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_w8jqmuur_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_jh5tako1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_12h3xh0m_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_u_c5yjwn_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_sq41k6kq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_7rac7sql_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_291xhdsw_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_4bmn7xbw_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_e4ghpdk5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_vpgw1538_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_uygqu5qi_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7956097/img_5l4uag3__wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7956097X,Canvey Island,Yes,Manu: 2008,Diesel
,1796 (cc),7945058X,ABI,VAUXHALL VECTRA LIFE,,2008,SM08FVY,"https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I1&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I2&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I3&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I4&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I5&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I6&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I7&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I8&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I9&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I10&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I11&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I12&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I13&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I14&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90285560~SID~B1~S0~I15&width=640&height=480",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7945058X,HBC Agent Addiewell,Yes,2008,PETROL
1 Speed Auto,,7841638,"This vehicle is located near Armagh, Northern Ireland. Call 02837 531914 for details. No cash payments accepted on site. No Keys. Accident Damage",RENAULT ZOE EXPRESSION A,Category S,,Electric,"https://hbcweblive.blob.core.windows.net/assets/7841638/img_va1k4vop_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_6v6xmtkj_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_901_kwj9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_wdw4lm4p_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_47yjja5q_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_iu1mhah6_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_p6zznu83_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_l35ihf2q_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_qz2s2o7w_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_xukhuzhc_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_tn4usmu7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_c0m3y50v_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_1ylxaa10_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_xiwpv8q1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_txujpd5z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_10tjotwm_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_qb15x2p7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_biru9aiq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_fjegw_d3_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_hcvl7db5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_c8_5gyl9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_eu4y6iq0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_g1erp7yo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_c_0sfekf_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_rsjvd4xs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_hxlxq4gj_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_ovjzidz4_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7841638/img_1xutw2dj_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7841638,SFZ82483,No,Manu: 2014,Electric
6 Speed Manual,1598 (cc),7868755X,Engine Does Not Run. Accident Damage,MERCEDES-BEN VITO 109 CDI,Category N,50118,BP66HWZ,"https://www.hbc.co.uk/assets/2019/10/11/7868755/img_hg8ik3qq_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_fd9ce97j_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_hmntoscz_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_7yi5h4lk_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_w3ut3cj4_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_e1404d3p_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_zojjmpd3_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_nv0s0fqk_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_dhk5j3v3_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_w1a8osgr_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_fgomvzyq_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_paau6mwb_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_xn7r42xc_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_kqkz63po_wm.jpg,https://www.hbc.co.uk/assets/2019/10/11/7868755/img_enyx28l3_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7868755/img_ug3csinu_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7868755/img_vmqk0cqs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7868755/img_2042uvgi_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7868755/img_t0t9ud1k_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7868755X,Canvey Island,Yes,Manu: 2016,Diesel
5 Speed Manual,1896 (cc),8122004,"When Checked, Ran and Drove. Accident Damage",VOLKSWAGEN SHARAN SE TDI,Category N,135269,RX51WBG,"https://www.hbc.co.uk/assets/2020/04/20/8122004/img_1onykv6e_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_qy72msm6_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_whgx0ijk_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img__jjaj9ys_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_tbb6k7x1_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_4junawq8_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_0nlmfzzl_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_0jj896nq_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_qoezj_a0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_tjtu9154_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_yf8q50tx_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_81rkujiy_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_qv_ti0b5_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_9e7bm0fo_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_5r31sut0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_esmiezx9_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_41pndwr3_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_myew8uhi_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_kv1cygvm_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_n1h_8hl6_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_efqhptb6_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img__59d9ebi_wm.jpg,https://www.hbc.co.uk/assets/2020/04/20/8122004/img_91jjrl8q_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8122004,Canvey Island,Yes,Manu: 2001,Diesel
5 Speed Manual,1296 (cc),8122848,"When Checked, Ran and Drove. Accident Damage",TOYOTA YARIS T3,Category N,127678,AO06AEL,"https://www.hbc.co.uk/assets/2020/04/21/8122848/img_jspzvggl_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_o8igokou_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_yh_d58fx_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_isssvrkx_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_ubn0qnjz_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_wqe0t67s_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_uk87zj96_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_40abcdtn_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_y2jhu56k_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_wfg7nio7_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_0yrv7udy_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_8lxn4xje_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_xa_o4u0v_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_1wyl6hpj_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_k_wqmzhi_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_3900j9ur_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_8oced6mi_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_xbcu3h0v_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_lmv4smna_wm.jpg,https://www.hbc.co.uk/assets/2020/04/21/8122848/img_vz65dqjy_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8122848,Canvey Island,Yes,Manu: 2006,Petrol
6 Speed Manual,1968 (cc),8121329,"This vehicle is located near Armagh, Northern Ireland. Call 02837 531914 for details. No cash payments accepted on site. Engine Does Not Run. Accident Damage",AUDI A4 SE TDI 140,Category S,135341,YH56VYW,"https://www.hbc.co.uk/assets/2020/04/17/8121329/img_ygh6vyxa_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329a.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329a.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img__424hj6i_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329b.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329b.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_uap6qec6_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329c.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329c.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_n3hlamrz_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329d.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329d.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_f6r33t6x_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329e.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329e.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img__ibtrzej_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329f.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329f.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_ufdpum14_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329g.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329g.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_762gce9o_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329h.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329h.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_ieqk26ql_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329i.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329i.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_2pm211nq_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329j.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329j.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_tojw5655_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329k.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329k.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_gx492a6f_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329l.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329l.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_73h0kh02_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329m.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329m.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_t9300dzo_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329n.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329n.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_5uobq04y_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329o.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329o.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_5edgxlzg_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329p.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329p.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_s29_v9ji_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329q.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329q.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_uw37g9mk_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329r.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329r.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_1edgkzi7_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329s.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329s.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_7xtxqktq_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329t.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329t.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_ili9lvz9_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329u.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329u.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_1ligtkb8_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329v.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329v.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_4iuwvrck_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329w.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329w.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_xucwqpfg_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329x.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329x.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_etnuknd6_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329y.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329y.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_av3thm55_wm.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329z.jpg,https://www.hbc.co.uk/auction/vehicle_images/large-pix/8121329z.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121329/img_r8h9vh5u_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8121329,HBC Agent Northern Irela,Yes,Manu: 2006,Diesel
,1461 (cc),8121030X,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. Engine Does Not Run. Accident Damage",RENAULT SCENIC DYNAMIQUE,Category N,,RE61VCD,"https://www.hbc.co.uk/assets/2020/04/16/8121030/img_6lqjagvw_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_2qhk8jfn_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_b8e6fszh_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_k6iymbt3_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_uxqtsoo6_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_dic3p4_a_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_0jk_sfvr_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_ttjqia3h_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_d_gjyyz2_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_kxx3_cab_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_dhhw2jdn_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_0mjlg8st_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_25kvgosc_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_gdg1m4hw_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_heufr6l4_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_f_0jyomf_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_5qf8ajvw_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_0hml_kpf_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img__ihagujz_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img__5y04rsz_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_6n71ccz1_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_g00y9bns_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_l7x6phzo_wm.jpg,https://www.hbc.co.uk/assets/2020/04/16/8121030/img_5tfdgzxm_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8121030X,HBC Agent Stafford,Yes,Manu: 2011,DIESEL
